"","Case","Scen_8_1_a","Scen_15_1_a","Scen_38_1_a","Scen_56_1_a","Scen_79_1_a","Scen_8_3_a","Scen_15_3_a","Scen_38_3_a","Scen_56_3_a","Scen_79_3_a","Scen_8_5_a","Scen_15_5_a","Scen_38_5_a","Scen_56_5_a","Scen_79_5_a","Cases_continuous"
"132","13",0.113,0.208,0.458,0.601,0.745,0.001,0,0.031,0.054,0.119,0,0,0.001,0.003,0.004,13
"133","13",0.122,0.225,0.453,0.607,0.756,0,0.003,0.017,0.063,0.125,0,0,0.001,0.002,0.005,13
"134","13",0.101,0.222,0.452,0.611,0.744,0,0,0.022,0.057,0.144,0,0,0.001,0.002,0.007,13
"135","13",0.13,0.21,0.477,0.609,0.727,0,0.002,0.016,0.058,0.125,0,0,0,0.001,0.006,13
"136","13",0.128,0.207,0.464,0.63,0.743,0,0.001,0.026,0.053,0.117,0,0,0.001,0.001,0.009,13
"137","13",0.119,0.214,0.498,0.615,0.717,0.001,0.003,0.018,0.054,0.154,0,0,0,0.002,0.005,13
"138","13",0.103,0.203,0.444,0.609,0.732,0.001,0.002,0.017,0.051,0.135,0,0,0,0,0.005,13
"139","13",0.132,0.22,0.468,0.593,0.726,0,0.003,0.022,0.059,0.131,0,0,0,0.003,0.004,13
"140","13",0.123,0.229,0.47,0.606,0.748,0.001,0.002,0.018,0.047,0.136,0,0,0,0,0.005,13
"141","14",0.12,0.255,0.511,0.646,0.785,0.001,0,0.03,0.07,0.153,0,0,0,0.002,0.006,14
"142","14",0.144,0.214,0.506,0.639,0.769,0.001,0,0.033,0.076,0.178,0,0,0,0.002,0.012,14
"143","14",0.144,0.221,0.481,0.611,0.774,0.002,0.002,0.023,0.055,0.149,0,0,0.001,0.001,0.007,14
"144","14",0.143,0.243,0.488,0.636,0.777,0.001,0.002,0.021,0.071,0.155,0,0,0,0.004,0.011,14
"145","14",0.151,0.245,0.486,0.626,0.777,0,0.004,0.025,0.083,0.16,0,0,0,0.001,0.006,14
"146","14",0.11,0.207,0.505,0.628,0.786,0,0.002,0.024,0.091,0.166,0,0,0,0.002,0.009,14
"147","14",0.131,0.25,0.494,0.631,0.767,0,0.001,0.027,0.055,0.161,0,0,0.002,0.002,0.007,14
"148","14",0.139,0.226,0.492,0.624,0.782,0,0.003,0.019,0.058,0.17,0,0,0,0.003,0.009,14
"149","14",0.139,0.233,0.512,0.629,0.771,0.001,0.001,0.03,0.044,0.148,0,0,0.001,0.003,0.009,14
"150","14",0.13,0.24,0.511,0.635,0.768,0.002,0.002,0.026,0.079,0.148,0,0,0.001,0.002,0.008,14
"151","15",0.137,0.262,0.497,0.633,0.803,0.001,0.001,0.037,0.093,0.177,0,0,0.001,0.007,0.017,15
"152","15",0.155,0.248,0.489,0.665,0.807,0,0.001,0.032,0.071,0.186,0,0,0.001,0.004,0.017,15
"153","15",0.131,0.243,0.494,0.648,0.795,0,0.002,0.038,0.083,0.17,0,0,0.001,0.002,0.013,15
"154","15",0.14,0.262,0.504,0.674,0.788,0,0.002,0.029,0.097,0.194,0,0,0.001,0.004,0.008,15
"155","15",0.123,0.254,0.488,0.668,0.781,0.002,0,0.03,0.091,0.176,0,0,0.001,0.001,0.016,15
"156","15",0.146,0.248,0.533,0.677,0.795,0.003,0,0.036,0.088,0.183,0,0,0,0.005,0.013,15
"157","15",0.16,0.264,0.512,0.657,0.798,0,0.004,0.025,0.089,0.186,0,0,0,0.001,0.011,15
"158","15",0.136,0.222,0.544,0.671,0.782,0,0.003,0.025,0.095,0.17,0,0,0,0.005,0.015,15
"159","15",0.13,0.235,0.528,0.66,0.79,0,0.004,0.026,0.075,0.185,0,0,0,0.002,0.01,15
"160","15",0.137,0.265,0.523,0.672,0.77,0,0,0.026,0.079,0.195,0,0,0,0.002,0.019,15
"161","16",0.16,0.252,0.554,0.677,0.799,0.001,0.002,0.044,0.118,0.225,0,0,0,0.003,0.013,16
"162","16",0.155,0.227,0.562,0.694,0.813,0,0.001,0.038,0.096,0.201,0,0,0,0.002,0.018,16
"163","16",0.145,0.285,0.545,0.69,0.812,0.001,0.001,0.041,0.093,0.212,0,0,0.001,0.003,0.011,16
"164","16",0.133,0.267,0.561,0.668,0.825,0,0.004,0.039,0.08,0.225,0,0,0,0.001,0.024,16
"165","16",0.134,0.259,0.566,0.674,0.807,0,0.004,0.039,0.098,0.191,0,0,0.001,0.005,0.018,16
"166","16",0.157,0.282,0.514,0.677,0.805,0.001,0.001,0.04,0.094,0.22,0,0,0.001,0.002,0.023,16
"167","16",0.154,0.271,0.541,0.668,0.817,0.002,0.002,0.039,0.08,0.207,0,0,0.001,0.01,0.011,16
"168","16",0.152,0.255,0.527,0.7,0.814,0,0.004,0.04,0.087,0.19,0,0,0,0.003,0.017,16
"169","16",0.14,0.259,0.553,0.704,0.828,0.002,0.008,0.039,0.087,0.204,0,0,0.001,0.002,0.016,16
"170","16",0.15,0.279,0.553,0.683,0.81,0,0.001,0.037,0.087,0.203,0,0,0,0.006,0.023,16
"171","17",0.171,0.267,0.559,0.713,0.83,0.001,0.004,0.053,0.113,0.258,0,0,0,0.003,0.022,17
"172","17",0.163,0.276,0.559,0.714,0.816,0,0.003,0.04,0.107,0.221,0,0,0.002,0.007,0.017,17
"173","17",0.169,0.299,0.557,0.713,0.833,0,0.005,0.036,0.103,0.236,0,0,0.001,0.009,0.017,17
"174","17",0.183,0.256,0.569,0.727,0.841,0.001,0.001,0.039,0.123,0.234,0,0,0,0.008,0.023,17
"175","17",0.159,0.27,0.534,0.697,0.827,0.002,0.006,0.047,0.107,0.234,0,0,0,0.003,0.016,17
"176","17",0.142,0.279,0.559,0.719,0.827,0.003,0.004,0.056,0.117,0.23,0,0,0.004,0.008,0.022,17
"177","17",0.161,0.278,0.568,0.725,0.819,0,0.001,0.04,0.108,0.231,0,0,0.001,0.001,0.024,17
"178","17",0.148,0.275,0.558,0.69,0.844,0.002,0.006,0.053,0.114,0.24,0,0,0.001,0.004,0.022,17
"179","17",0.164,0.282,0.546,0.713,0.847,0,0.006,0.048,0.127,0.236,0,0,0,0.008,0.016,17
"180","17",0.125,0.301,0.544,0.692,0.838,0.001,0.005,0.039,0.111,0.208,0,0,0.001,0.004,0.02,17
"181","18",0.162,0.293,0.571,0.713,0.866,0.002,0.006,0.05,0.14,0.278,0,0,0,0.009,0.024,18
"182","18",0.161,0.279,0.594,0.727,0.843,0,0.004,0.047,0.13,0.246,0,0,0.001,0.003,0.023,18
"183","18",0.174,0.285,0.565,0.715,0.858,0.001,0.007,0.059,0.128,0.253,0,0,0.001,0.005,0.033,18
"184","18",0.155,0.292,0.561,0.734,0.817,0,0.003,0.061,0.147,0.25,0,0,0.002,0.008,0.03,18
"185","18",0.178,0.282,0.61,0.72,0.85,0.001,0.005,0.061,0.138,0.264,0,0,0.004,0.006,0.017,18
"186","18",0.163,0.301,0.585,0.761,0.842,0,0.005,0.048,0.121,0.268,0,0,0.002,0.004,0.029,18
"187","18",0.154,0.272,0.572,0.71,0.852,0,0.004,0.04,0.112,0.269,0,0,0.001,0.015,0.018,18
"188","18",0.14,0.277,0.588,0.713,0.872,0.001,0.004,0.042,0.14,0.255,0,0,0.001,0.008,0.027,18
"189","18",0.155,0.252,0.594,0.716,0.842,0,0.005,0.053,0.122,0.257,0,0,0.003,0.003,0.024,18
"190","18",0.157,0.277,0.605,0.74,0.842,0.002,0.008,0.05,0.115,0.248,0,0,0.002,0.005,0.039,18
"191","19",0.16,0.293,0.602,0.766,0.858,0,0.005,0.063,0.146,0.29,0,0,0.001,0.008,0.041,19
"192","19",0.16,0.308,0.619,0.777,0.86,0,0.004,0.051,0.157,0.29,0,0,0.002,0.015,0.038,19
"193","19",0.18,0.319,0.603,0.753,0.859,0.001,0.003,0.062,0.141,0.282,0,0,0,0.01,0.036,19
"194","19",0.156,0.293,0.575,0.726,0.881,0.001,0.003,0.056,0.14,0.294,0,0,0.002,0.009,0.033,19
"195","19",0.187,0.286,0.598,0.738,0.876,0.002,0.007,0.042,0.127,0.302,0,0,0.001,0.011,0.035,19
"196","19",0.188,0.334,0.601,0.758,0.849,0,0.004,0.056,0.159,0.28,0,0,0.002,0.003,0.023,19
"197","19",0.171,0.267,0.602,0.725,0.869,0.004,0.005,0.075,0.133,0.278,0,0,0.002,0.009,0.038,19
"198","19",0.175,0.302,0.621,0.774,0.832,0.001,0.002,0.059,0.163,0.279,0,0,0.001,0.01,0.028,19
